state,county_state,pop09,pop1049,pop59,pop69,pop79,pop89
GA,GA 13073,20854,42939,19614,16555,9843,4407
GA,GA 13075,2264,4711,2242,1971,1318,643
GA,GA 13077,18429,39210,21646,16010,10050,4083
GA,GA 13079,1249,2752,2061,1740,1176,428
GA,GA 13081,2792,5859,2955,2914,1857,1044
GA,GA 13083,1647,3695,2113,2270,1458,709
GA,GA 13085,2727,5800,3785,3546,2673,908
GA,GA 13087,3536,7066,3407,3051,1949,1080
GA,GA 13089,101298,191830,94739,77685,41767,20859
GA,GA 13091,2103,4450,2901,2605,1706,936
GA,GA 13093,1085,2482,1891,1947,1318,616
GA,GA 13095,11661,24244,10279,10339,6136,3444
GA,GA 13097,19173,41505,20233,14354,7998,3128
GA,GA 13099,1342,2770,1321,1219,932,492
GA,GA 13101,564,1149,478,409,219,146
GA,GA 13103,9161,18472,8303,6343,3483,1411
GA,GA 13105,2313,4570,2623,2571,1872,989
GA,GA 13107,3086,6223,2777,2611,1693,817
GA,GA 13109,1511,3068,1364,1181,803,407
GA,GA 13111,2205,4683,3708,5122,3755,1667
GA,GA 13113,12037,29439,17308,15194,10007,4463
GA,GA 13115,12071,25874,12473,11256,7450,4045
GA,GA 13117,32481,71694,34207,21124,14751,5964
GA,GA 13119,2828,5826,3120,2979,2037,1023
GA,GA 13121,123405,259877,135260,99201,55792,28101
GA,GA 13123,3232,6534,4491,5376,3798,1506
GA,GA 13125,303,716,426,375,243,134
GA,GA 13127,9718,20201,11296,11599,8505,3847
GA,GA 13129,7102,15320,8036,6279,4055,1872
GA,GA 13131,3255,6658,3341,3004,2098,1045
GA,GA 13133,1954,3747,2337,3257,2725,1000
GA,GA 13135,128431,274217,126634,86130,43244,17806
GA,GA 13137,5368,11384,5790,5447,3996,1920
GA,GA 13139,26725,56158,26462,21360,14727,6971
GA,GA 13141,636,1436,1201,1286,925,445
GA,GA 13143,3861,7835,4087,3286,2277,1049
GA,GA 13145,3770,8327,5351,4904,3165,1254
GA,GA 13147,2822,5964,3667,3618,2781,1341
GA,GA 13149,1394,2926,1707,1528,982,457
GA,GA 13151,28913,65888,33390,23006,12949,4970
GA,GA 13153,21813,44086,20370,15774,9137,4494
GA,GA 13155,993,2192,1193,999,763,462
GA,GA 13157,9881,20028,9541,7506,5186,2074
GA,GA 13159,1710,3630,2095,1873,1167,507
GA,GA 13161,2090,4327,1941,1643,1210,480
GA,GA 13163,1937,3918,2108,1907,1320,634
GA,GA 13165,908,1933,1108,985,697,347
GA,GA 13167,965,2002,1326,1177,853,413
GA,GA 13169,3181,7206,4001,3629,2410,1103
GA,GA 13171,2219,5026,2426,2335,1485,734
GA,GA 13173,1382,2727,1420,1124,693,314
GA,GA 13175,6348,12730,6175,5598,3819,2135
GA,GA 13177,4107,8643,3640,3203,1799,646
GA,GA 13179,11193,18989,5665,4787,2817,993
GA,GA 13181,799,1634,1126,1324,912,410
GA,GA 13183,2931,5768,2271,1834,787,397
GA,GA 13185,16051,33386,12193,10557,6625,3303
GA,GA 13187,3068,8071,4084,4324,2857,1125
GA,GA 13189,2892,5827,2827,2678,1848,782
GA,GA 13191,1166,2510,2101,2509,1919,870
GA,GA 13193,1300,2715,1750,1733,1093,428
GA,GA 13195,3645,7476,4199,3766,2432,1007
GA,GA 13197,882,1907,1319,1205,837,368
GA,GA 13199,2450,4947,3020,2964,2006,1008
GA,GA 13201,694,1437,765,715,547,386
GA,GA 13205,2663,5413,2867,2559,1662,867
GA,GA 13207,2941,6224,3908,3861,2350,1203
GA,GA 13209,1003,2215,1193,1124,719,351
GA,GA 13211,2261,4770,2743,2541,1812,906
GA,GA 13213,5103,10756,5590,4339,3007,1180
GA,GA 13215,27955,53801,22335,19853,11653,6447
GA,GA 13217,14842,32266,14989,10997,6822,2919
GA,GA 13219,5192,11680,5349,4571,2942,1305
GA,GA 13221,1712,3480,2229,2002,1376,665
GA,GA 13223,22582,47876,23310,15296,8495,3294
GA,GA 13225,3161,7111,3677,3382,2040,959
GA,GA 13227,3301,7090,4739,4999,3508,1349
GA,GA 13229,2541,5212,2605,2232,1626,722
GA,GA 13231,2126,4837,2720,2140,1470,642
GA,GA 13233,5744,11780,5531,4718,3162,1438
GA,GA 13235,976,2210,1502,1530,1149,643
GA,GA 13237,2258,4752,3247,3565,2580,1063
GA,GA 13239,230,482,292,429,336,166
GA,GA 13241,1440,3153,2321,2870,2402,1027
GA,GA 13243,749,1589,883,1040,736,462
GA,GA 13245,26374,52656,23957,22794,12699,6434
GA,GA 13247,11040,24507,13158,10786,6130,2591
GA,GA 13249,579,1402,760,558,456,213
GA,GA 13251,1661,3229,1994,2023,1186,571
GA,GA 13253,880,1842,1116,1191,912,426
GA,GA 13255,8520,17119,8383,8047,5740,2644
GA,GA 13257,3185,6567,3351,3456,2453,1017
GA,GA 13259,396,854,704,642,418,251
GA,GA 13261,3641,7844,3652,3347,2395,1156
GA,GA 13263,547,1126,999,1153,726,289
GA,GA 13265,153,278,240,248,187,110
GA,GA 13267,2734,5681,3255,2698,1706,831
GA,GA 13269,835,1767,1184,1111,789,365
GA,GA 13271,1320,2864,2068,1960,1288,795
GA,GA 13273,1064,2152,1174,1107,783,394
GA,GA 13275,5729,11507,5958,5577,3713,1953
GA,GA 13277,5596,11596,4782,4321,2875,1451
GA,GA 13279,3784,7718,3267,3009,2047,1112
GA,GA 13281,848,2359,1418,2101,2024,1067
GA,GA 13283,842,1750,806,904,557,318
GA,GA 13285,9084,18865,9037,7788,4700,2470
GA,GA 13287,1094,2149,948,922,747,387
GA,GA 13289,830,1706,1270,1292,912,368
