state,county_state,pop09,pop1049,pop59,pop69,pop79,pop89
Georgia,Georgia 13143,3861,7835,4087,3286,2277,1049
Georgia,Georgia 13145,3770,8327,5351,4904,3165,1254
Georgia,Georgia 13147,2822,5964,3667,3618,2781,1341
Georgia,Georgia 13149,1394,2926,1707,1528,982,457
Georgia,Georgia 13151,28913,65888,33390,23006,12949,4970
Georgia,Georgia 13153,21813,44086,20370,15774,9137,4494
Georgia,Georgia 13155,993,2192,1193,999,763,462
Georgia,Georgia 13157,9881,20028,9541,7506,5186,2074
Georgia,Georgia 13159,1710,3630,2095,1873,1167,507
Georgia,Georgia 13161,2090,4327,1941,1643,1210,480
Georgia,Georgia 13163,1937,3918,2108,1907,1320,634
Georgia,Georgia 13165,908,1933,1108,985,697,347
Georgia,Georgia 13167,965,2002,1326,1177,853,413
